Time(s)             AccelX(°/s)        AccelY(°/s)        AccelZ(°/s)        GyroX(°/s)         GyroY(°/s)         GyroZ(°/s)         Roll(°)            Pitch(°)           Yaw(°)             Temperature(℃)    
16:43:58.736        0.007               -0.023              1.054               0.000               0.000               0.000               -1.15               -0.36               3.15                31.17               
16:43:58.857        0.007               -0.025              1.051               0.000               0.000               0.000               -1.15               -0.37               3.15                31.18               
16:43:58.966        0.006               -0.019              1.047               0.000               0.000               0.000               -1.15               -0.35               3.15                31.16               
16:43:59.077        0.004               -0.024              1.049               0.000               0.000               0.000               -1.14               -0.34               3.15                31.18               
16:43:59.187        0.006               -0.024              1.049               0.000               0.000               0.000               -1.15               -0.34               3.15                31.18               
16:43:59.296        0.005               -0.019              1.046               0.000               0.000               0.000               -1.15               -0.33               3.15                31.17               
16:43:59.406        0.010               -0.021              1.052               0.000               0.000               0.000               -1.15               -0.34               3.15                31.17               
16:43:59.516        0.011               -0.021              1.044               0.000               0.000               0.000               -1.15               -0.35               3.15                31.18               
16:43:59.626        0.007               -0.022              1.045               0.000               0.000               0.000               -1.15               -0.36               3.15                31.16               
16:43:59.737        0.003               -0.021              1.051               0.000               0.000               0.000               -1.17               -0.37               3.15                31.17               
16:43:59.858        0.010               -0.023              1.049               0.000               0.000               0.000               -1.19               -0.38               3.14                31.14               
16:43:59.967        0.007               -0.022              1.053               0.000               0.000               0.000               -1.17               -0.39               3.14                31.17               
16:44:00.077        0.008               -0.021              1.051               0.000               0.000               0.000               -1.15               -0.38               3.14                31.15               
16:44:00.234        0.004               -0.025              1.047               0.000               0.000               0.000               -1.16               -0.37               3.14                31.17               
16:44:00.344        0.008               -0.021              1.046               0.000               0.000               0.000               -1.13               -0.37               3.14                31.19               
16:44:00.454        0.009               -0.023              1.050               0.000               0.000               0.000               -1.13               -0.37               3.14                31.14               
16:44:00.563        0.005               -0.021              1.048               0.000               0.000               0.000               -1.13               -0.35               3.14                31.16               
16:44:00.676        0.006               -0.021              1.044               0.000               0.000               0.000               -1.14               -0.35               3.14                31.15               
16:44:00.784        0.008               -0.019              1.051               0.000               0.000               0.000               -1.14               -0.35               3.14                31.18               
16:44:00.888        0.008               -0.019              1.051               0.000               0.000               0.000               -1.14               -0.34               3.14                31.17               
16:44:00.998        0.006               -0.022              1.049               0.000               0.000               0.000               -1.14               -0.35               3.14                31.17               
16:44:01.108        0.007               -0.022              1.046               0.000               0.000               0.000               -1.15               -0.34               3.14                31.18               
16:44:01.218        0.003               -0.020              1.048               0.000               0.000               0.000               -1.14               -0.34               3.14                31.14               
16:44:01.327        0.004               -0.018              1.048               0.000               0.000               0.000               -1.12               -0.34               3.14                31.13               
16:44:01.437        0.007               -0.021              1.048               0.000               0.000               0.000               -1.14               -0.34               3.14                31.12               
16:44:01.547        0.011               -0.021              1.044               0.000               0.000               0.000               -1.15               -0.35               3.14                31.12               
16:44:01.657        0.006               -0.020              1.049               0.000               0.000               0.000               -1.14               -0.34               3.14                31.16               
16:44:01.767        0.006               -0.022              1.049               0.000               0.000               0.000               -1.13               -0.33               3.14                31.17               
16:44:01.879        0.007               -0.021              1.053               0.000               0.000               0.000               -1.14               -0.33               3.14                31.19               
16:44:01.987        0.006               -0.021              1.048               0.000               0.000               0.000               -1.14               -0.34               3.14                31.16               
16:44:02.096        0.004               -0.019              1.043               0.000               0.000               0.000               -1.13               -0.34               3.14                31.17               
16:44:02.206        0.007               -0.023              1.047               0.000               0.000               0.000               -1.14               -0.34               3.14                31.18               
16:44:02.316        0.006               -0.019              1.046               0.000               0.000               0.000               -1.12               -0.36               3.14                31.15               
16:44:02.425        0.005               -0.021              1.043               0.000               0.000               0.000               -1.14               -0.36               3.14                31.16               
16:44:02.535        0.007               -0.022              1.047               0.000               0.000               0.000               -1.12               -0.37               3.14                31.14               
16:44:02.645        0.010               -0.021              1.048               0.000               0.000               0.000               -1.13               -0.37               3.14                31.17               
16:44:02.755        0.009               -0.020              1.050               0.000               0.000               0.000               -1.13               -0.37               3.14                31.16               
16:44:02.864        0.011               -0.019              1.050               0.000               0.000               0.000               -1.13               -0.38               3.14                31.14               
16:44:02.974        0.006               -0.021              1.046               0.000               0.000               0.000               -1.14               -0.38               3.14                31.16               
16:44:03.084        0.006               -0.018              1.046               0.000               0.000               0.000               -1.13               -0.38               3.14                31.15               
16:44:03.194        0.006               -0.022              1.048               0.000               0.000               0.000               -1.12               -0.40               3.14                31.17               
16:44:03.304        0.003               -0.019              1.046               0.000               0.000               0.000               -1.13               -0.37               3.14                31.17               
16:44:03.414        0.012               -0.023              1.047               0.000               0.000               0.000               -1.14               -0.38               3.14                31.15               
16:44:03.524        0.008               -0.021              1.051               0.000               0.000               0.000               -1.15               -0.39               3.14                31.15               
16:44:03.634        0.007               -0.022              1.045               0.000               0.000               0.000               -1.16               -0.38               3.14                31.16               
16:44:03.744        0.007               -0.021              1.047               0.000               0.000               0.000               -1.16               -0.37               3.14                31.15               
16:44:03.853        0.003               -0.022              1.049               0.000               0.000               0.000               -1.18               -0.35               3.14                31.17               
16:44:03.963        0.008               -0.020              1.046               0.000               0.000               0.000               -1.16               -0.36               3.14                31.15               
16:44:04.073        0.006               -0.021              1.048               0.000               0.000               0.000               -1.12               -0.36               3.14                31.18               
16:44:04.182        0.002               -0.021              1.053               0.000               0.000               0.000               -1.12               -0.36               3.14                31.17               
16:44:04.292        0.007               -0.021              1.050               0.000               0.000               0.000               -1.12               -0.35               3.14                31.18               
16:44:04.402        0.005               -0.021              1.051               0.000               0.000               0.000               -1.13               -0.34               3.14                31.18               
16:44:04.512        0.008               -0.021              1.046               0.000               0.000               0.000               -1.13               -0.35               3.14                31.13               
16:44:04.622        0.009               -0.022              1.050               0.000               0.000               0.000               -1.13               -0.34               3.14                31.17               
16:44:04.731        0.008               -0.021              1.053               0.000               0.000               0.000               -1.13               -0.33               3.14                31.17               
16:44:04.841        0.003               -0.018              1.047               0.000               0.000               0.000               -1.14               -0.32               3.14                31.15               
16:44:04.951        0.005               -0.021              1.048               0.000               0.000               0.000               -1.17               -0.33               3.14                31.17               
16:44:05.061        0.008               -0.024              1.046               0.000               0.000               0.000               -1.16               -0.33               3.14                31.15               
16:44:05.171        0.006               -0.022              1.049               0.000               0.000               0.000               -1.16               -0.34               3.14                31.16               
16:44:05.281        0.006               -0.021              1.046               0.000               0.000               0.000               -1.16               -0.34               3.14                31.15               
16:44:05.391        0.005               -0.020              1.048               0.000               0.000               0.000               -1.16               -0.35               3.14                31.16               
16:44:05.501        0.005               -0.020              1.053               0.000               0.000               0.000               -1.14               -0.35               3.14                31.17               
16:44:05.610        0.006               -0.019              1.046               0.000               0.000               0.000               -1.15               -0.35               3.14                31.15               
16:44:05.720        0.006               -0.021              1.050               0.000               0.000               0.000               -1.16               -0.34               3.14                31.15               
16:44:05.830        0.003               -0.019              1.051               0.000               0.000               0.000               -1.15               -0.34               3.14                31.16               
16:44:05.940        0.006               -0.022              1.047               0.000               0.000               0.000               -1.16               -0.35               3.14                31.18               
16:44:06.050        0.007               -0.022              1.043               0.000               0.000               0.000               -1.17               -0.35               3.14                31.16               
16:44:06.159        0.007               -0.021              1.050               0.000               0.000               0.000               -1.16               -0.36               3.14                31.17               
16:44:06.269        0.001               -0.022              1.048               0.000               0.000               0.000               -1.16               -0.34               3.14                31.17               
16:44:06.379        0.006               -0.022              1.052               0.000               0.000               0.000               -1.16               -0.33               3.14                31.17               
16:44:06.489        0.007               -0.023              1.049               0.000               0.000               0.000               -1.15               -0.34               3.14                31.15               
